Features,Program type,Statewide or region-specific?,Federal operating authority,Program start date,Waiver expiration date (if applicable),"If the program ended in 2018, indicate the end date",Populations enrolled: Low-income adults not covered under ACA Section VIII (excludes pregnant women and people with disabilities),Populations enrolled: Low-income adults covered under  ACA Section VIII (excludes pregnant women and people with disabilities),"Populations enrolled: Aged, Blind or Disabled Children or Adults",Populations enrolled: Non-Disabled Children (excludes children in foster care or receiving adoption assistance),Populations enrolled: Individuals receiving Limited Benefits (excludes partial duals),Populations enrolled: Full Duals,Populations enrolled: Partial Duals,Populations enrolled: Children with Special Health Care Needs,Populations enrolled: Native American/Alaskan Natives,Populations enrolled: Foster Care and Adoption Assistance Children,Populations enrolled: Enrollment choice period,Populations enrolled: Enrollment broker name (if applicable),Populations enrolled: Notes on enrollment choice period,Benefits covered: Inpatient hospital physical health,Benefits covered: Inpatient hospital behavioral health (MH and/or SUD),Benefits covered: Outpatient hospital physical health,Benefits covered: Outpatient hospital behavioral health (MH and/or SUD),Benefits covered: Partial hospitalization,Benefits covered: Physician,Benefits covered: Nurse practitioner,Benefits covered: Rural health clinics and FQHCs,Benefits covered: Clinic services,Benefits covered: Lab and x-ray,Benefits covered: Prescription drugs,Benefits covered: Prosthetic devices,Benefits covered: EPSDT,Benefits covered: Case management,Benefits covered: SSA Section 1945-authorized health home,Benefits covered: Health home care (services in home),Benefits covered: Family planning,Benefits covered: Dental services (medical/surgical),Benefits covered: Dental (preventative or corrective),Benefits covered: Personal care (state plan option),Benefits covered: HCBS waiver services,Benefits covered: Private duty nursing,Benefits covered: ICF-IDD,Benefits covered: Nursing facility services,Benefits covered: Hospice care,Benefits covered: Non-Emergency Medical Transportation,Benefits covered: Institution for Mental Disease inpatient treatment for people ages 21-64 defined by 42 CFR §438.6(e) as an 'in lieu of' benefit,"Benefits covered: Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement: HEDIS data required?,Quality assurance and improvement: CAHPS data required?,Quality assurance and improvement: Accreditation required?,Quality assurance and improvement: Accrediting organization,Quality assurance and improvement: EQRO contractor name (if applicable),Performance incentives: Payment bonuses/differentials to reward plans,Performance incentives: Preferential auto-enrollment to reward plans,Performance incentives: Public reports comparing plan performance on key metrics,Performance incentives: Withholds tied to performance metrics,Performance incentives: MCOs/PHPs required or encouraged to pay providers for value/quality outcomes,Participating plans: Plans in Program,Notes: Program notes,state
PACE,Program of All-inclusive Care for the Elderly (PACE),"Atlantic, Cape May, Monmouth, and Mercer Counties. Zip codes: 08028, 08062, 08071, 08094, 08098, 08302, 08311, 08312, 08314, 08316, 08318, 08321, 08322, 08323, 08324, 08327, 08328, 08329, 08332, 08343, 08344, 08345, 08348, 08349, 08352, 08353, 08360, 08361, 08362, 08002, 08003, 08004, 08007, 08009, 08012, 08021, 08026, 08029, 08030, 08031, 08033, 08034, 08035, 08043, 08045, 08049, 08052, 08059, 08065, 08076, 08077, 08078, 08081, 08083, 08084, 08091, 08095, 08099, 08101, 08102, 08103, 08104, 08105, 08106, 08107, 08108, 08109, 08110, 08015, 08016, 08022, 08060, 08068, 08505, 08515, 08518, 08554, 07002, 07030, 07047, 07086, 07087, 07093, 07094, 07302, 07304, 07305, 07306, 07307, 07310, 07311",PACE,04/09/2009 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,,X,X,X,X,X,X,X,,X,X,X,X,,X,,X,X,X,X,X,X,,,X,X,X,,,No,No,No,,,,,,,,Atlanticare LIFE; Beacon of LIFE; Inspira LIFE; LIFE at Lourdes; LIFE St. Francis; Lutheran Senior Life,,NJ
Centennial Care,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),01/01/2014 12:00:00 AM,12/31/2018 12:00:00 AM,12/31/2018 12:00:00 AM,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Voluntary,Mandatory,Other,,Members have 90 days to switch MCO's when initially enrolled and during recertification.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,"Ambulatory, surgical, anesthesia, diagnostic imaging, imaging and therapeutic radiology services, dialysis, durable medical equipment and medical supplies, hearing and audiology, immunization, medical service providers, midwife, nutritional, occupational therapy, physical therapy, podiatry, pregnancy termination (state funded), prosthetics and orthotics, rehabilitation, reproductive health, school based, speech therapy, telehealth, transplant, transportation, vision, pediatricians",Yes,Yes,Yes,NCQA,IPRO,,X,X,X,X,Blue Cross Blue Shield of NM; Molina Healthcare of New Mexico Inc; Presbyterian Health Plan; UnitedHealthcare Community Plan,Native American/Alaskan Native Enrollment would be manditorily enrolled if receiving LTSS.,NM
Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"Bernalillo County, Sandoval County, Valencia County",PACE,07/01/2004 12:00:00 AM,,,,,,,,Voluntary,,,Exempt,,N/A,,Disenrollment permitted every 30 days.,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,,X,X,X,,X,,X,,X,,,Yes,No,No,,,,,,,,Innovage New Mexico PACE dba Total Community Care,,NM
Health and Recovery Plans,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),10/01/2015 12:00:00 AM,03/31/2021 12:00:00 AM,,Voluntary,Voluntary,,,,,,,Exempt,Exempt,30 days,NY Medicaid Choice/Maximus,,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,X,X,X,X,X,X,,,X,,,"Midwife Services, audiology, vision, occupational therapy",Yes,Yes,No,,Island Peer Review Organization,X,X,X,,X,Affinity Health Plan; Capital District Physician's Health Plan; Excellus Health Plan; Fidelis Care; HealthFirst; HealthPlus; HIP GNY; Independent Health Association; MetroPlus; Molina HealthCare of New York; MVP Health Plan; United HealthCare; YourCare Health Plan,The covered benefit of partial hospitalization only applies to enrollees 21 years of age and older. CMS has approved HCBS within the HARP program under 1115(a) authority.,NM
Managed Long Term Care,MLTSS only (PIHP and/or PAHP),Statewide,1115(a) (Medicaid demonstration waivers),01/01/1998 12:00:00 AM,03/31/2021 12:00:00 AM,,,,,,,Mandatory,,,Exempt,Exempt,60 days,NY Medicaid Choice/Maximus,,,,,,,X,X,,X,,,,,X,,X,,X,X,X,X,X,,X,X,X,,,No,No,No,,Island Peer Review Organization,X,X,X,,,Aetna Better Health; AgeWell New York; AlphaCare; ArchCare Community Life; Centers Plan for Healthy Living; ElderPlan; ElderServe; ElderWood; Extended MLTC; Fallon Health Weinberg; Fidelis Care; GuildNet; Hamaspik Choice; Health Advantage/Elant Choice; HealthPlus; iCircle Care; Independent Care Systems; Integra; Kalos Health Plan; MetroPlus; Montefiore; North Shore - LIJ Health Plan; Prime Health Choice; Senior Health Partners; Senior Network Health; Senior Whole Health; United HealthCare; Village Care; VNA HomeCare Options; VNS Choice; WellCare Advocate,"MLTC enrollees may elect hospice care, but a hospice enrollee cannot enroll in MLTC. Some, but not all, HCBS waiver services are covered by MLTC plans.",NM
Medicaid Advantage Plus,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),01/01/2007 12:00:00 AM,03/31/2021 12:00:00 AM,,,,,,,Voluntary,,,Exempt,Exempt,60 days,NY Medicaid Choice/Maximus,,X,X,X,X,,X,X,,X,X,X,X,,X,,X,,X,X,X,X,X,,X,,X,,Podiatry,No,No,No,,Island Peer Review Organization,,,,,,ElderPlan; Fidelis Legacy Plan; GuildNet; HealthFirst; HealthPlus Advantage Plus; Senior Whole Health; Village Care; VNS Choice Plus,,NM
PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,01/01/2001 12:00:00 AM,,,,,,,,Voluntary,Voluntary,,Exempt,Exempt,N/A,NY Medicaid Choice/Maximus,,X,X,X,X,X,X,X,,X,X,X,X,,X,,X,,X,X,X,X,X,,X,,X,,"Podiatry, physical therapy, occupational therapy",No,No,No,,Island Peer Review Organization,,,,,,ArchCare Senior Life; Catholic Health - Life; CenterLight (CCM); Complete Senior Care; Eddy Senior Care; Fallon Health Weinberg; Independent Living for Seniors; PACE CNY; Total Senior Care,"Covered Benefits include non-hospice palliative care. OB/GYN is mandated with a minimum age of 55 years. Quality Assurance measures would include PACE home health agency, a federally mandated internal program.",NM
Medicaid Advantage,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),10/01/2006 12:00:00 AM,03/31/2021 12:00:00 AM,,,,,,,Voluntary,,,Exempt,Exempt,60 days,NY Medicaid Choice/Maximus,,X,X,X,X,,X,X,,X,X,X,X,,X,,X,,X,X,X,,X,,,,X,,"Podiatry, outpatient rehabilitation, hearing services, vision care services",No,No,No,,Island Peer Review Organization,,,,,,Affinity; Fidelis Legacy Plan; Liberty Health Advantage; United HealthCare; VNS Choice; WellCare,,NM
Medicaid Managed Care,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),10/01/1997 12:00:00 AM,03/31/2021 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,,,,Exempt,Mandatory,30 days,NY Medicaid Choice/Maximus,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,X,X,,,"Nurse midwife services, vision care, foot care services",Yes,Yes,No,,Island Peer Review Organization,X,X,X,,X,HealthNow; HealthPlus; HIP Combined; Independent Health/Hudson Valley; WNY; MetroPlus Health Plan; MetroPlus Health Plan Special Needs; Molina Healthcare of New York; MVP Health Plan; United HealthCare; VNS Choice Special Needs; WellCare; YourCare Health Plan; Fidelis Care; HealthFirst; Affinity Health Plan; Amida Care Special Needs; Capital District Physician's Health Plan; Crystal Run Health Plan; Excellus Health Plan,The covered benefit of partial hospitalization only applies to enrollees 21 years of age and older. Fidelis Care covers emergency and non-emergency transportation in Rockland County only.,NM
1915(b)/(c) Medicaid Waiver for MH/DD/SA Services,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),01/01/2012 12:00:00 AM,06/30/2018 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,,Mandatory,,Mandatory,Voluntary,Mandatory,Pre-assigned,,,,X,,X,,,,,,,,,X,,,,,,,,X,,X,,,,X,Outpatient behavioral health services including services provided by psychiatrists for recipients with a diagnosis in the 290-319 range; psychiatric residential treatment facilities; therapeutic foster care; residential child care; hospital emergency dept,Yes,Yes,Yes,"NCQA, URAC",Carolina Center for Medical Excellence,,,X,,,Alliance Behavioral Healthcare; Cardinal Innovations Healthcare Solutions; Eastpointe Human Services; Partners Behavioral Health Management; Sandhills Center for MH DD SA; Trillium Health Resources; VAYA Health,Waiver expiration date (if applicable) - 6/30/2018 (currently under Technical Extension). All Medicaid recipients are covered by a Behavioral Healthcare (BHO).  Enrollment in one of seven plans is based on the enrollee's county of residence.,NC
Health Management Program,Other Prepaid Health Plan (PHP) (limited benefits),Statewide,1932(a),08/01/2007 12:00:00 AM,,06/30/2018 12:00:00 AM,Voluntary,,Voluntary,Voluntary,Voluntary,,,,Voluntary,Voluntary,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,Health Management,"Effective July 1, 2018 the Health Management Program was no longer an authorized service with it being removed from North Dakota's Medicaid State Plan with authority granted by the Center for Medicare and Medicaid Services as of August 9, 2019. Thus, no enrollment as of July 1, 2018.",ND
PACE,Program of All-inclusive Care for the Elderly (PACE),"Ward: 58701, 58702, 58703, 58722, 58785. Burleigh: 58501, 58502, 58503, 58504. Morton: 58554. Stark: 58601, 58602, 58630, 58652, 58655, 58656.",PACE,08/01/2008 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,Enrollment begins on the first day of the month following the determination that they are eligible.,X,X,X,X,,X,X,X,X,X,X,X,,X,,X,,X,X,X,,,,,,,,,No,No,No,,,,,,,,PACE,,ND
PCCM,Primary Care Case Management (PCCM),Statewide,1932(a)/1915(i),01/10/1994 12:00:00 AM,,,Mandatory,,,Mandatory,Mandatory,,,,Mandatory,,N/A,,Once enrolled the recipient has 14 days to choose a PCP or one will be assigned. They can change PCP without good cause for the first 90 days and every 12 months during the 60 day annual open enrollment period.,,,X,,,X,X,X,X,,,,,X,,,,,,,,,,,,,,,No,No,No,North Dakota,,,,,,,Multiple Primary Care Providers,,ND
North Dakota Medicaid Expansion,Comprehensive MCO,Statewide,"1915(b),1937 Alt Benefit Plan",01/01/2014 12:00:00 AM,12/31/2019 12:00:00 AM,,,Mandatory,,,,,,,Mandatory,Mandatory,Pre-assigned,,,X,X,X,X,,X,X,X,X,,X,X,X,X,,X,X,X,X,,,,,,X,X,,Up to 30 days SNF within a 12 month period,Yes,Yes,No,,Qlarant Quality Solutions,,,,,,ND Medicaid Expansion MCO,"In order for the State to provide Medicaid Expansion MCO through private carriers including mandatory enrollment, an initial 1915(b) waiver allowing managed care enrollment of the new adult group for Medicaid expansion was submitted to CMS with authority granted. The 1915(b) waiver renewal was submitted to CMS for 2016-2017 and 2018-2019 with authority granted. In addition, CMS granted initial authority through an 1115 waiver to ensure compliance related to having one health plan choice for those Medicaid Expansion recipeints in urban areas of the state. CMS extended this 1115 waiver authority until such time that the Final Medicaid Managed Care CFR were published (May 6, 2016) - with the changes noted at 42 CFR § 438.52(b)(1) and (b)(3) the 1115 waiver was no longer needed thus it was allowed to expire. Per the Medicare Advantage Health Service Delivery (HSD) Reference file for the applicable calendar year, ND no longer has any counties designated as being urban thus the state may limit rural area residents to a single MCO.",ND
Ohio PACE,Program of All-inclusive Care for the Elderly (PACE),Cuyahoga County,PACE,11/01/2002 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Exempt,,N/A,,Ohio PACE operates under an open-enrollment model.,X,X,,X,,X,X,,,X,,,,,,X,,X,X,,X,X,,X,X,X,,,No,No,No,,,,,,,,McGregor PACE,"Regarding the coverage of HCBS services - Ohio has chosen to offer the same covered benefits in the PACE program that are available to individuals enrolled on a 1915(c) waiver to better ensure the assessed needs of individuals with an intermediate level of care are met, and better promote the health and welfare of PACE participants.",OH
Ohio Medicaid Managed Care Program,Comprehensive MCO,Statewide,"1915(b),1932(a)",07/01/2006 12:00:00 AM,03/31/2020 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,,,,Mandatory,Voluntary,Mandatory,Other,"Automated Health Systems, Inc.",Medicaid enrollees are pre-assigned to a plan with 90 days to change plans.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,X,X,X,X,"Immunizations, nurse midwife services, freestanding birth centers, certified family nurse practitioner, certified pediatric nurse practitioner, physical therapy, speech therapy, occupational therapy, developmental therapy, chiropractic, podiatry, vision, DME and medical supplies, ambulance, ambulette, care management, telemedicine, respite services for eligible children receiving SSI, services for members with a primary diagnosis of Autism Spectrum Disorder, screening and counseling for obesity",Yes,Yes,Yes,NCQA,Health Services Advisory Group,,X,X,X,X,"Buckeye Health Plan; CareSource; Molina Healthcare of Ohio, Inc.; Paramount Advantage; UnitedHealthcare Community Plan of Ohio, Inc.","Ohio Medicaid managed care plans are responsible for payment of medically necessary nursing facility services for ABD and MAGI enrollees until discharge or until the member is disenrolled, in accordance with the processes set forth in rule  5160-26-02.1 of the Ohio Administrative Code. For enrollees in the newly eligible category (ACA Section VIII expansion group, up to 138% federal poverty level), nursing facility stays are covered for the length of time medically necessary.  Individuals enrolled in 1915 (c) receiving HCBS services through the Ohio Department of Developmental Disabilities may enroll in this Medicaid managed care program voluntarily, with HCBS carved out to fee-for-service (not provided through managed care).",OH
MyCare Ohio Opt-Out Program,Comprehensive MCO + MLTSS,"Central, Northwest, Northeast, Northeast Central, Southwest, West Central, East Central",1915(b)/1915(c),05/01/2014 12:00:00 AM,12/31/2023 12:00:00 AM,,,,,,,Mandatory,,,Exempt,Mandatory,Other,"Automated Health Systems, Inc.",Enrollees are pre-assigned to a plan and have 90 days to change plans.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,"Immunizations, nurse midwife services, freestanding birth centers, care management, DME and medical supplies, vision, physical therapy, speech therapy, occupational therapy, developmental therapy, certified family nurse practitioner, certified pediatric nurse practitioner, ambulance, ambulette, podiatry, telemedicine, services for members with a primary diagnosis of autism spectrum disorder, screening and counseling for obesity",Yes,Yes,Yes,NCQA,Health Services Advisory Group,,,X,X,X,"Aetna Better Health of Ohio; Buckeye Health Plan; CareSource; Molina Healthcare of Ohio, Inc.; UnitedHealthcare Community Plan of Ohio, Inc.","Ohio Medicaid's waiver for this program was renewed in the second half of 2018, and the waiver authority expiration date was changed from 3/31/2019 to 12/31/2023. The individuals that must enroll in this program are full duals who are age 18 and older. This includes children in foster care and children receiving adoption assistance who are full duals and age 18 and older.",OH
SoonerRide,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,06/01/2006 12:00:00 AM,,,Mandatory,,Mandatory,,,Mandatory,,,Mandatory,Exempt,Pre-assigned,Logisticare,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,SoonerRide,,OK
SoonerCare Choice,Primary Care Case Management (PCCM),Statewide,1115(a) (Medicaid demonstration waivers),01/01/1996 12:00:00 AM,12/31/2023 12:00:00 AM,,Mandatory,,Mandatory,Mandatory,Voluntary,,,,Voluntary,Voluntary,N/A,Maximus,Members are enrolled within 72 hours of application.,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,,X,X,,"Podiatry, speech therapy, disease management, hearing, institutional, occupational therapy, physical therapy, skilled nursing facility, vision",No,No,No,State Specific PCMH,Telligen,,,,,,SoonerCare Choice,,OK
PACE,Program of All-inclusive Care for the Elderly (PACE),"74464, 74441, 74423, 74960, 74427, 74465, 74403, 74457, 74451, 74352, 74434, 74401, 74471, 74364, 74347, 74402, 74444, 74368, 74964, 74446, 74452, 74359, 74965, 74439 74103, 74104, 74105, 74106, 74107, 74110, 74112, 74114, 74115, 74119, 74120, 74126, 74127, 74128, 74129, 74130, 74132, 74133, 74136, 74137, 74145, 74146, 74134, 74135, 74117, 74116, 74108 73008, 73106, 73143, 73003, 73147, 73025, 73134, 73084, 73119, 73140, 73124, 73157, 73170, 73163, 73066, 73150, 73110, 73139, 73105, 73142, 73185, 73109, 73194, 73113, 73169, 73103, 73154, 73121, 73156, 73165, 73127, 73013, 73131, 73198, 73118, 73178, 73141, 73184, 73160, 73146, 73120, 73149, 73083, 73137, 73122, 73155, 73132, 73108, 73162, 73112, 73167, 73102, 73152, 73012, 73179, 73135, 73126, 73190, 73129, 73196, 73117, 73173, 73123, 73153, 73144, 73116, 73148, 73034, 73136, 73120, 73115, 73107, 73159, 73111, 73164, 73101, 73151, 73130, 73145, 73125, 73189, 73128, 73195, 73114, 73172, 73104",PACE,08/01/2008 12:00:00 AM,,,,,Voluntary,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,Enrollment process takes approximately 4-6 weeks. Members are enrolled on the 14th of every month to be effective the first day of the following month. Members go through the PACE Organizations for the entire enrollment process.,X,X,X,X,X,X,X,,X,X,X,X,,X,,X,,X,X,X,,X,,X,X,,,"Podiatry, speech therapy, disease management, hearing, institutional, occupational therapy, physical therapy, skilled nursing facility, vision",No,No,No,,,,,,,,Cherokee Elder Care (CEC); Life PACE; Valir PACE,PACE members are not eligible for SoonerRide.,OK
Oregon Health Plan (OHP),Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),02/01/1994 12:00:00 AM,06/30/2022 12:00:00 AM,,Mandatory,Mandatory,Voluntary,Voluntary,Mandatory,Voluntary,Voluntary,Mandatory,Voluntary,Voluntary,Pre-assigned,,,X,X,X,X,,X,,,,X,X,X,X,X,,X,X,X,X,,,,,X,X,X,,"Hearing, immunization, vision",No,Yes,No,"NCQA, URAC",Health Insight,X,,X,X,,"Access Dental Plan, LLC; Advantage Dental Services; Capitol Dental Care, Inc.; CareOregon Dental; Family Dental Care; Greater Oregon Behavioral Health, Inc.; Managed Dental Care of Oregon; ODS Community Health Inc.; AllCare Health Plan; Cascade Health Alliance; Columbia Pacific; Eastern Oregon CCO; HealthShare of Oregon; InterCommunity Health Network; Jackson Care Connect; PacificSource Community Solutions - Central Oregon; PacificSource Community Solutions - Columbia Gorge; PrimaryHealth of Josephine County; Trillium Community Health Plan; Umpqua Health Alliance; Advanced Health; Willamette Valley Community Health; Yamhill Community Care","In the Oregon Health Plan/Medicaid program, a person can be enrolled simultaneously in two or three plans. For example, a client can be enrolled in the PACE program for physical health, a dental plan (DCO) for dental care and a mental health plan (CCO) for mental health care. FamilyCare (CCO) had closed to enrollment prior to June 2018.",OR
PACE,Program of All-inclusive Care for the Elderly (PACE),"Multnomah, Washington, Clatsop, Clackamas and Tillamook Counties",PACE,01/01/1986 12:00:00 AM,,,,,,,,Voluntary,Voluntary,,Voluntary,,N/A,,Flexible enrollment eligibility - rolling enrollment to be effective on the 1st of the following month.,X,X,X,X,X,X,X,,X,X,X,X,,X,,X,,X,X,X,X,,,X,X,X,,"Medications (OTC and RX), mental health care, DME, speech/physical/occupational/ recreational theraputic services, audiology/optical/podiatry specialty medical care, occupational and physical therapy and social services",No,No,No,NCQA,,X,,,,,Providence Elder Place,,OR
Adult Community Autism Program,Other Prepaid Health Plan (PHP) (limited benefits),"Dauphin, Cumberland, Lancaster and Chester counties",1915(a),08/01/2009 12:00:00 AM,12/31/2021 12:00:00 AM,,,,,,,Voluntary,Voluntary,,Exempt,Exempt,,,,,,,,,X,,,,,,,,,,,,X,X,,X,,,,,,,"Podiatry, speech therapy, occupational therapy, language therapy, counseling, respite, supported employment",No,No,No,,Island Peer Review Organization,,,,,,Adult Community Autism Program,ACAP is a PAHP with MLTSS.,PA
MATP (Medical Assistance Transportation Program),Non-Emergency Medical Transportation,Philadelphia,1902(a)(70) NEMT,11/01/2005 12:00:00 AM,,,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Exempt,,,LogistiCare,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,LogistiCare,,PA
Behavioral Health HealthChoices,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,"1115(a) (Medicaid demonstration waivers),1915(b)",01/01/1999 12:00:00 AM,12/31/2021 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Exempt,Mandatory,Pre-assigned,,,,X,,X,X,X,,X,X,,,,X,X,,,,,,,,,,,,,X,"Psychiatric rehabilitation, peer specialist services",Yes,No,Yes,"NCQA, JCAHO, URAC, for Inpatient, Outpatient",Island Peer Review Organization,X,,,X,X,Allegheny County HealthChoices; Beaver County HealthChoices; Behavioral Health Services of Bedford and Somerset; Berks County HealthChoices; Blair County HealthChoices; Bucks County HealthChoices; Cambria County HealthChoices; Carbon-Monroe-Pike Joinder Board; Chester County HealthChoices; Cumberland County HealthChoices; Dauphin County HealthChoices; Delaware County HealthChoices; Erie County HealthChoices; Fayette County HealthChoices; Greene County (Commonwealth); Lancaster County HealthChoices; Lebanon County HealthChoices; Lehigh County HealthChoices; Lycoming-Clinton Joinder Board; Montgomery County HealthChoices; North Central State Option; Northampton County HealthChoices; Northeast Behavioral Health Care Consortium; Northwest Behavioral Health Partnership; Perry County HealthChoices; Philadelphia County HealthChoices; Southwest Behavioral Health Management; Tuscarora Managed Care Alliance; York/Adams County HealthChoices,1115(a) authority is for Residential Drug and Alcohol services.,PA
PA Living Independence for the Elderly,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,07/24/1998 12:00:00 AM,,,,,,,,Voluntary,Voluntary,,Voluntary,Exempt,N/A,,Open enrollment all year.,X,X,X,X,X,X,X,,X,X,X,X,,X,,X,,X,X,X,X,X,,X,X,X,,PACE programs cover specialists of all disiplines as needed. PACE does not operate under a waiver.,No,No,No,PACE Quality Assurance and Performance Improvement (QAPI),,,,,,,Senior LIFE Greensburg H-2937; Senior LIFE Johnstown H-3925; Senior LIFE Altonna H-5902; Senior LIFE York H-0819; Senior LIFE Lehigh H-5978; Senior LIFE Washington H-2992; SpiriTrust LIFE H-2537; LIFE NWPA H-4999; LIFE Geisinger H-2064; Mercy LIFE H-3919; Mercy LIFE West Philadelphia H-3908; LIFE St. Mary H-6551; Innovage LIFE H-9830; Albright LIFE H-9068; Community LIFE H-3917; LIFE Pittsburgh H-3918; VieCare Butler H-3060; VieCare Beaver H-7660; VieCare Armstrong H-6118,,PA
Community HealthChoices,Comprehensive MCO + MLTSS,"Community HealthChoices will be phased in over a three year period beginning in Southwest Pennsylvania on January 1, 2018. The following counties were included in Phase 1: Allegheny, Armstrong, Beaver, Bedford, Blair, Butler, Cambria, Fayette, Greene, Indiana, Lawrence, Somerset, Washington and Westmoreland.",1915(b)/1915(c),01/01/2018 12:00:00 AM,07/01/2020 12:00:00 AM,,,,Mandatory,,,Mandatory,,,Mandatory,Exempt,Other,Maximus,Participants go through choice counseling at initial enrollment and can change their plan at any time. Dating rules affect when the member will be enrolled.,X,,X,,,X,X,X,X,X,X,X,,X,,X,X,X,X,,X,,X,X,X,X,,"Chiropractic services, mobile mental health treatment, maternity services, podiatrist services",Yes,Yes,Yes,NCQA,IPRO,,,,,,UPMC Community HealthChoices; Pennsylvania Health &amp; Wellness; Amerihealth Caritas / Keystone First,,PA
HealthChoices - Physical Health,Comprehensive MCO,Statewide,1915(b),02/01/1997 12:00:00 AM,12/31/2021 12:00:00 AM,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Other,Maximus,Consumers have the right to change MCOs at any time.,X,,X,,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,,X,X,X,,"Nurse midwife services, freestanding birth centers, podiatry, chiropractic services, optometrists, renal dialysis centers, ambulatory surgical centers, medical supplies & equipment, home health (visiting nurses)",Yes,Yes,Yes,"NCQA, Nationally Recognized Organization",Island Peer Review Organization,X,,X,X,X,"Aetna Better Health; Gateway Health; Health Partners Plan; United Healthcare Community Plan, Inc.; UPMC for You; Geisinger Health Plan; AmeriHealth Caritas/AmeriHealth Caritas Northeast; Keystone First","1. Under ""Benefits Covered"", Private Duty Nursing is only covered for children under 21 years old. In addition, in counties that have not implemented the Community HealthChoices program, the first 30 days of nursing facility services are covered by the HealthChoices plan. Beneficiaries with stays beyond the initial 30 days are disenrolled from HealthChoices and their stay is covered by FFS. For counties that have implemented Community HealthChoices, nursing facility services for days 31+ are covered by the Physical HealthChoices plan up to the day the Member is enrolled into Community HealthChoices.  2. Under ""Enrollment"", only those under 21 years of age, Full Dual and Partial Dual are enrolled mandatorily in HealthChoices.  PA HealthChoices Physical and Behavioral Health operate under a single statewide 1915(b) waiver but are administered separately.",PA
Government Health Plan,Comprehensive MCO,Statewide,"1932(a),1937 Alt Benefit Plan",02/01/1994 12:00:00 AM,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,Pre-assigned,,,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,X,X,X,,,,,,,,,,Yes,Yes,No,,Island Peer Review Organization,,,,X,X,"First Medical Plan Inc.; Triple S Salud, Inc.; Molina Health Care PR, Inc.; MMM MultiHealth, Inc.",,PR
Medicare Platino,Comprehensive MCO,Statewide,1915(b),01/01/2006 12:00:00 AM,,,,,,,,Voluntary,,,Voluntary,Exempt,Other,,No specific time,X,X,X,X,X,X,,X,X,X,X,X,,X,,,X,X,X,,,,,,,,,,Yes,Yes,No,,Island Peer Review Organization,,,,,X,Triple S Advantage; Humana Health Plan of PR Inc.; MCS Advantage Inc.; MMM Health Care Inc.; Constellation Health LLC,Medicare Platino is a Medicare Advantage product that provides Medicaid wrap around benefits to enrollees. The benefits above include those covered by Medicaid and Medicare.,PR
